Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/users?page=2,255,0,130.0,135.00845372886855,115.90450000949204,419.5509999990463,1088.0,4.707020074951354,0.0,130,130,130,130,140,150,300,320,420,420,420
,Aggregated,255,0,130.0,135.00845372886855,115.90450000949204,419.5509999990463,1088.0,4.707020074951354,0.0,130,130,130,130,140,150,300,320,420,420,420
